Age,Males,Females,All
0-4,1647712,1572189,3219901
5-9,1798566,1716348,3514914
10-14,1885816,1797170,3682986
15-19,1789434,1686933,3476367
20-24,1836165,1784724,3620889
25-29,1929106,1978274,3907380
30-34,2030478,2160399,4190877
35-39,1959177,2092852,4052029
40-44,1886745,1981118,3867863
45-49,1800317,1855543,3655860
50-54,2004835,2075256,4080091
55-59,2001453,2076407,4077860
60-64,1762629,1824785,3587414
65-69,1459600,1546240,3005840
70-74,1348026,1482930,2830956
75-79,1132355,1295924,2428279
80-84,674812,853722,1528534
85-89,390031,569132,959163
90+,180917,369918,550835
Total,29518174,30719864,60238038
